OBJECTID,ANO,CDMUN,NMMUN,NMEST,NMREG,VZHURM3S,VZHRUM3S,VZINDM3S,VZMINM3S,VZTERM3S,VZANIM3S,VZIRRM3S,VZTOTM3S,SHAPE_Length,SHAPE_Area
1,2020,1100015,Alta Floresta D'Oeste,RO,REGIÃO NORTE,0.03743295,0.00885578,0.00315067,4.79e-06,0,0.26147391,2.04534365,2.35626175,5.80735039599879,0.587648280210327
2,2020,1100023,Ariquemes,RO,REGIÃO NORTE,0.37456929,0.01188505,0.03575943,0.01287797,0,0.31100038,0.05837347,0.80446561,3.98688279669414,0.364965047676826
3,2020,1100031,Cabixi,RO,REGIÃO NORTE,0.00672119,0.00290567,0.000949,5.165e-05,0,0.08226561,0.1768793,0.26977242,1.74524141026551,0.10972475539266
4,2020,1100049,Cacoal,RO,REGIÃO NORTE,0.29628501,0.01641828,0.03099346,0.00059662,0,0.28794015,2.13248121,2.76471473,2.96664813357842,0.31408522375747
5,2020,1100056,Cerejeiras,RO,REGIÃO NORTE,0.03441691,0.00232272,0.00330844,0,0,0.05737222,0.04223005,0.13965034,3.48590034683433,0.232089461431105
6,2020,1100064,Colorado do Oeste,RO,REGIÃO NORTE,0.04397769,0.00369177,0.00674927,6.181e-05,0,0.16986532,0.05765815,0.28200401,1.63793398113525,0.120978790627422
7,2020,1100072,Corumbiara,RO,REGIÃO NORTE,0.00871761,0.00431245,0.00077471,0,0,0.21314501,0.06411566,0.29106545,3.1431986068564,0.254917375561426
8,2020,1100080,Costa Marques,RO,REGIÃO NORTE,0.04108711,0.00976317,7.719e-05,4.375e-05,0,0.15411542,0.00921879,0.21430542,5.07744965431165,0.414197421129752
9,2020,1100098,Espigão D'Oeste,RO,REGIÃO NORTE,0.05188154,0.00795187,0.02428479,0.00290786,0,0.26182443,0.20677147,0.55562196,3.07553660387158,0.374186748220275
10,2020,1100106,Guajará-Mirim,RO,REGIÃO NORTE,0.12418249,0.00833191,0.00440778,0.0001849,0,0.07713743,0.00855842,0.22280293,9.14668441696354,2.05825117413973
11,2020,1100114,Jaru,RO,REGIÃO NORTE,0.15168653,0.0138628,0.07347449,0.00015566,0,0.37001994,0.06185272,0.67105215,3.93738074056305,0.243220468348715
12,2020,1100122,Ji-Paraná,RO,REGIÃO NORTE,0.39078706,0.01074409,0.09405526,0.00045079,0,0.28038007,0.06680937,0.84322666,4.86820518184052,0.569530143330743
13,2020,1100130,Machadinho D'Oeste,RO,REGIÃO NORTE,0.09519445,0.02042855,0.00306423,0.00021064,0,0.28065125,0.13040475,0.52995387,5.80155595343574,0.700088739352161
14,2020,1100148,Nova Brasilândia D'Oeste,RO,REGIÃO NORTE,0.02071499,0.01224214,0.00064701,0.00045466,0,0.1523626,1.74506812,1.93148951,2.57387499382871,0.14118396267735
15,2020,1100155,Ouro Preto do Oeste,RO,REGIÃO NORTE,0.06293167,0.00770501,0.00521414,0.00050328,0,0.26586711,0.02463201,0.36685323,2.75056439729891,0.162741968798888
16,2020,1100189,Pimenta Bueno,RO,REGIÃO NORTE,0.11661535,0.00420332,0.03460477,0.00383169,0,0.18519961,0.02724567,0.37170041,5.04446396647099,0.51783105980503
17,2020,1100205,Porto Velho,RO,REGIÃO NORTE,2.20910692,0.03518309,0.0857964,0.00892578,0.04277183,0.70034813,0.05580558,3.13793772,18.5224565019584,2.8049326163853
18,2020,1100254,Presidente Médici,RO,REGIÃO NORTE,0.02726074,0.00690058,0.01065038,0.00024843,0,0.23423465,0.06956819,0.34886297,2.47328555854423,0.145543783165547
19,2020,1100262,Rio Crespo,RO,REGIÃO NORTE,0.00371801,0.00280705,0.00157144,0.00083045,0,0.07646106,0.00115947,0.08654747,1.88813917204036,0.141495657647768
20,2020,1100288,Rolim de Moura,RO,REGIÃO NORTE,0.14587392,0.00724797,0.04004814,2.74e-05,0,0.15455724,0.34035345,0.68810813,1.78080884780585,0.120900572098182
21,2020,1100296,Santa Luzia D'Oeste,RO,REGIÃO NORTE,0.00921243,0.00278279,0.01140933,0.00011118,0,0.11456809,0.05259742,0.19068124,1.79146445071851,0.0994362482915128
22,2020,1100304,Vilhena,RO,REGIÃO NORTE,0.18647492,0.00562015,0.05091001,0.0001737,0,0.08183361,0.0257771,0.3507895,8.6542897625606,0.956511985758757
23,2020,1100320,São Miguel do Guaporé,RO,REGIÃO NORTE,0.02579816,0.01222348,0.02773729,4.04e-06,0,0.17156962,2.1937677,2.43110029,6.37679364602598,0.618417910427369
24,2020,1100338,Nova Mamoré,RO,REGIÃO NORTE,0.096072,0.01229668,0.00151265,4.103e-05,0,0.48038411,0.05988278,0.65018926,5.7992064925932,0.831498278869377
25,2020,1100346,Alvorada D'Oeste,RO,REGIÃO NORTE,0.0306007,0.00607007,0.0001622,4.53e-06,0,0.17357987,0.25756587,0.46798324,3.99103282115126,0.250841562685744
26,2020,1100379,Alto Alegre dos Parecis,RO,REGIÃO NORTE,0.0085118,0.00800714,2.773e-05,0,0,0.13035739,1.4216087,1.56851276,4.22499444595595,0.329295765818
27,2020,1100403,Alto Paraíso,RO,REGIÃO NORTE,0.03145489,0.0104023,0.0012313,0.00023425,0,0.20220987,0.13448813,0.38002074,3.62342192528464,0.218449901627687
28,2020,1100452,Buritis,RO,REGIÃO NORTE,0.03401275,0.02049318,0.00215589,7.86e-06,0,0.3617882,1.20369652,1.62215441,3.07435152235941,0.269345044570177
29,2020,1100502,Novo Horizonte do Oeste,RO,REGIÃO NORTE,0.00389721,0.00616006,0.00122164,0,0,0.0986774,0.56349048,0.67344679,1.39609995426278,0.0699332012148517
30,2020,1100601,Cacaulândia,RO,REGIÃO NORTE,0.00620751,0.00447608,0.00073761,0,0,0.16776838,0.00379047,0.18298005,1.75486089500005,0.16193352482292
31,2020,1100700,Campo Novo de Rondônia,RO,REGIÃO NORTE,0.01271378,0.01200251,0,0.009164,0,0.30918621,0.04328701,0.38635351,3.49242726012899,0.28425643781395
32,2020,1100809,Candeias do Jamari,RO,REGIÃO NORTE,0.04144477,0.01098035,0.00262209,0.00104527,0,0.15544669,0.16742913,0.37896829,6.6778655548406,0.56258323734329
33,2020,1100908,Castanheiras,RO,REGIÃO NORTE,0.00307077,0.0022501,0,0,0,0.0745957,0.03078795,0.11070451,1.47619631614536,0.0739742666235763
34,2020,1100924,Chupinguaia,RO,REGIÃO NORTE,0.01834908,0.00602691,0.03207041,0,0,0.21491628,0.00915691,0.28051958,4.25631114273067,0.426431330131373
35,2020,1100940,Cujubim,RO,REGIÃO NORTE,0.05079891,0.00899453,0.00056809,0.00042346,0,0.1456965,0.03126614,0.23774763,3.61440932206237,0.317866029297894
36,2020,1101005,Governador Jorge Teixeira,RO,REGIÃO NORTE,0.01132812,0.00435602,0.00015685,0,0,0.20930336,0.01878368,0.24392804,3.65638521706811,0.418837794592703
37,2020,1101104,Itapuã do Oeste,RO,REGIÃO NORTE,0.02083766,0.00373744,0.00219696,0.00228076,0,0.06458971,0.01460194,0.10824445,4.19406627307459,0.335768055263951
38,2020,1101203,Ministro Andreazza,RO,REGIÃO NORTE,0.01363117,0.00552088,0.00146291,0.00043603,0,0.08651675,0.92321294,1.03078067,1.31585807879393,0.0660535349786712
39,2020,1101302,Mirante da Serra,RO,REGIÃO NORTE,0.02613372,0.00439764,0.0035869,3.3e-07,0,0.09900893,0.05646141,0.18958893,1.97050690995453,0.0986192037111288
40,2020,1101401,Monte Negro,RO,REGIÃO NORTE,0.03375131,0.00717518,0.00196473,0,0,0.20197847,0.04948367,0.29435335,2.36891878529126,0.159367759450215
41,2020,1101435,Nova União,RO,REGIÃO NORTE,0.00471515,0.00545792,5.063e-05,0.00021196,0,0.10752486,0.01001629,0.12797681,1.03396110003123,0.0667448310482286
42,2020,1101450,Parecis,RO,REGIÃO NORTE,0.00724851,0.00385995,6.11e-06,0.00119299,0,0.11909595,0.01621978,0.14762329,2.26191200310417,0.211764912962895
43,2020,1101468,Pimenteiras do Oeste,RO,REGIÃO NORTE,0.00463814,0.00108936,0,5.49e-06,0,0.08534371,0.02653473,0.11761144,7.13631404099108,0.501512544051233
44,2020,1101476,Primavera de Rondônia,RO,REGIÃO NORTE,0.00287876,0.00157914,2.883e-05,0,0,0.0473486,0.06129877,0.1131341,1.31023961982257,0.050255934230708
45,2020,1101484,São Felipe D'Oeste,RO,REGIÃO NORTE,0.00541523,0.00312719,9.75e-06,0,0,0.07137775,0.08300397,0.16293389,1.14285403645906,0.0449457554339314
46,2020,1101492,São Francisco do Guaporé,RO,REGIÃO NORTE,0.03576256,0.01031195,0.00175508,0,0,0.30152146,0.13929667,0.48864771,6.44519389625993,0.910992409139588
47,2020,1101500,Seringueiras,RO,REGIÃO NORTE,0.01200108,0.00739844,0.00161363,1.325e-05,0,0.14410257,0.33824726,0.50337622,3.79697747951807,0.313012739006733
48,2020,1101559,Teixeirópolis,RO,REGIÃO NORTE,0.00846101,0.00220759,0.0002375,2.122e-05,0,0.07430312,0.00817443,0.09340486,0.952548538665826,0.0380432209947713
49,2020,1101609,Theobroma,RO,REGIÃO NORTE,0.01247285,0.0080814,0.00110255,0,0,0.19712129,0.04285823,0.26163633,2.61497961887196,0.181267324915318
50,2020,1101708,Urupá,RO,REGIÃO NORTE,0.01596468,0.00588315,0.00293966,0,0,0.14249605,0.02294615,0.19022968,1.57813692577183,0.0688347003581542
51,2020,1101757,Vale do Anari,RO,REGIÃO NORTE,0.02192907,0.00640193,9.75e-06,0,0,0.11340985,0.04578757,0.18753817,4.04991600511966,0.258323738374457
52,2020,1101807,Vale do Paraíso,RO,REGIÃO NORTE,0.00994561,0.0040991,0.00019667,1.426e-05,0,0.12904459,0.02069167,0.16399191,1.67439390718028,0.0797224209699228
53,2020,1200013,Acrelândia,AC,REGIÃO NORTE,0.03690981,0.00871308,0.00260042,0,0,0.13154586,0.04815963,0.22792881,2.29211196797442,0.149057094881038
54,2020,1200054,Assis Brasil,AC,REGIÃO NORTE,0.01696491,0.00344379,5.766e-05,0,0,0.03221491,0,0.05268128,5.69041049000603,0.411172333051024
55,2020,1200104,Brasiléia,AC,REGIÃO NORTE,0.09519618,0.00711478,0.01709137,2.086e-05,0,0.1426534,0.00910963,0.27118621,4.62257403799242,0.323711491108687
56,2020,1200138,Bujari,AC,REGIÃO NORTE,0.02228361,0.00510728,0,0,0,0.13076303,0.01014173,0.16829564,3.13474163132952,0.249978044376416
57,2020,1200179,Capixaba,AC,REGIÃO NORTE,0.03025403,0.00584638,0.00261641,0,0,0.10506362,0.00446209,0.14824254,2.32309820570405,0.140600575276275
58,2020,1200203,Cruzeiro do Sul,AC,REGIÃO NORTE,0.2939751,0.02259997,0.00528563,9.989e-05,0,0.02544306,0.01812803,0.36553168,6.48571893424321,0.720030376723296
59,2020,1200252,Epitaciolândia,AC,REGIÃO NORTE,0.07840105,0.00565203,0.00033084,0,0,0.08533047,0,0.16971439,2.28045190488135,0.136834361053034
60,2020,1200302,Feijó,AC,REGIÃO NORTE,0.10082134,0.01513766,0.00065778,6.76e-06,0,0.08829689,0.00338541,0.20830584,9.97737674775691,2.29995842858915
61,2020,1200328,Jordão,AC,REGIÃO NORTE,0.01365098,0.00434534,0,0,0,0.00543101,0,0.02342733,4.68416616903487,0.440808360669991
62,2020,1200336,Mâncio Lima,AC,REGIÃO NORTE,0.03580018,0.00787416,0,1.91e-06,0,0.01125076,0.00183429,0.05676129,3.71068942395799,0.446748185249198
63,2020,1200344,Manoel Urbano,AC,REGIÃO NORTE,0.02923725,0.00253805,0,0,0,0.02996392,0,0.06173922,7.53911239481739,0.87538538271866
64,2020,1200351,Marechal Thaumaturgo,AC,REGIÃO NORTE,0.02625774,0.00987775,0,0,0,0.00807638,0,0.04421187,4.60489797400779,0.673750133088603
65,2020,1200385,Plácido de Castro,AC,REGIÃO NORTE,0.04287642,0.00725844,0.00311274,0,0,0.13526331,0.02403749,0.2125484,2.476996887663,0.160363153542345
66,2020,1200393,Porto Walter,AC,REGIÃO NORTE,0.01677555,0.00680999,4.387e-05,0,0,0.00552376,0,0.02915317,3.97666065684404,0.529152432904313
67,2020,1200401,Rio Branco,AC,REGIÃO NORTE,1.821744,0.03176859,0.04502366,0.00053134,0,0.28376781,0.03394134,2.21677674,6.70178033636174,0.728731651604187
68,2020,1200427,Rodrigues Alves,AC,REGIÃO NORTE,0.02016906,0.01570508,0,0,0,0.01142334,0.0008899,0.04818738,3.51902441351762,0.252272445429661
69,2020,1200435,Santa Rosa do Purus,AC,REGIÃO NORTE,0.01155466,0.00329102,0,0,0,0.00522917,0,0.02007484,7.09447966998572,0.50591330884852
70,2020,1200450,Senador Guiomard,AC,REGIÃO NORTE,0.04384057,0.00819013,0.00835786,0.00051345,0,0.14968727,0.11156898,0.32215825,2.79462485134795,0.19143045306339
71,2020,1200500,Sena Madureira,AC,REGIÃO NORTE,0.12725613,0.01304591,0.00297867,5.48e-06,0,0.18703724,0.00203943,0.33236286,8.64536380576683,1.95733844621737
72,2020,1200609,Tarauacá,AC,REGIÃO NORTE,0.09084976,0.02226326,0.00072311,0,0,0.10559185,0.00488506,0.22431305,7.27259887509213,1.65538970351347
73,2020,1200708,Xapuri,AC,REGIÃO NORTE,0.05573095,0.00539484,0.00069086,0,0,0.15507773,0.00041206,0.21730643,5.07739383855024,0.441746045712671
74,2020,1200807,Porto Acre,AC,REGIÃO NORTE,0.01279111,0.01775793,0.00066325,0,0,0.15264346,0.02465536,0.20851111,2.63921299625733,0.21457077266868
75,2020,1300029,Alvarães,AM,REGIÃO NORTE,0.03689673,0.00718358,0,0,0,0.0003004,0.04831607,0.09269679,4.24403511328077,0.481259875809388
76,2020,1300060,Amaturá,AM,REGIÃO NORTE,0.0109687,0.00805697,0,0,0,0.00080545,0,0.01983112,3.34166557204288,0.387276870822543
77,2020,1300086,Anamã,AM,REGIÃO NORTE,0.01665975,0.00937973,1.374e-05,0,0,0.00047101,0.00730276,0.03382698,2.42855022555235,0.199723727733351
78,2020,1300102,Anori,AM,REGIÃO NORTE,0.04015516,0.01244686,0,0,0,0.00091158,0.00090021,0.05441381,5.4301166069916,0.472047365284831
79,2020,1300144,Apuí,AM,REGIÃO NORTE,0.06151543,0.01025345,5.05e-06,0,0,0.09695433,0.00115394,0.1698822,9.87419515519036,4.44637098950901
80,2020,1300201,Atalaia do Norte,AM,REGIÃO NORTE,0.02127263,0.01431442,0,0,0,9.825e-05,0,0.0356853,15.6102794217974,6.23351045534834
81,2020,1300300,Autazes,AM,REGIÃO NORTE,0.08278191,0.03181538,0.00069862,0,0,0.06470299,0.01886627,0.19886517,5.23028082972726,0.618694205456417
82,2020,1300409,Barcelos,AM,REGIÃO NORTE,0.02940708,0.01790756,3.898e-05,0.00044896,0,1.945e-05,0.00420483,0.05202686,20.773230161635,9.95267016645584
83,2020,1300508,Barreirinha,AM,REGIÃO NORTE,0.0869827,0.02251046,6.889e-05,0,0,0.02873415,0.00331784,0.14161404,4.48895245186949,0.46786439543843
84,2020,1300607,Benjamin Constant,AM,REGIÃO NORTE,0.11387115,0.02551086,0.00018914,7.9e-07,0,0.00049316,0,0.1400651,8.65061414460379,0.717589392074402
85,2020,1300631,Beruri,AM,REGIÃO NORTE,0.03941486,0.01233739,0,0,0,0.00094228,0.01463364,0.06732817,6.81623311031844,1.40589699165076
86,2020,1300680,Boa Vista do Ramos,AM,REGIÃO NORTE,0.03292992,0.01310502,0,0,0,0.0101059,0.00095692,0.05709776,3.30412515119238,0.210465618655443
87,2020,1300706,Boca do Acre,AM,REGIÃO NORTE,0.1488987,0.01361747,0.00993185,1.56e-06,0,0.14329598,0.00370292,0.31944848,6.83332363928053,1.80388558932382
88,2020,1300805,Borba,AM,REGIÃO NORTE,0.02941873,0.03380941,0.01499782,0.00030586,0,0.0054678,0.00323042,0.08723005,14.633372403635,3.60835743053005
